id,asin,title,price,rating,sales_volume,reviews_count,description
3c943db5-ad7e-45da-85a5-2363584335b1,B07MV4NN5Z,"Big Potato The Chameleon, Award-Winning Board Game for Families & Friends for 3-8 Players",15.99,4.7,2K+ bought in past month,,7063.0
0ce92bc9-af3e-4e03-a362-75dfdac41f84,B09NYD15ZH,"Skillmatics Rapid Rumble - Fast-Paced Board Game for Kids, Teens & Adults, Fun for Family Game Night & Educational Toy, Quick-Thinking Card Game, Gift for Ages 6, 7, 8, 9 & Up",19.97,4.6,1K+ bought in past month,,3147.0
44ae72ff-b3cb-45b2-b38f-a814e6a26d3e,B076HK9H7Z,"Sorry! Kids Board Game, Family Board Games for Kids and Adults, 2 to 4 Players, Family Games, Kids Games, Ages 6 and Up",7.49,4.8,10K+ bought in past month,"Slide, collide and score to win the Sorry! game! Who knows what will happen next as players chase their opponents around the board, trying to get their 3 pawns from start to home first? Will a player draw a card that tells them to move ahead 2 spaces or back 6? Will someone land on a slide or will an opponent land on a player's space, sending them back to the start? This iconic children's game is a great choice for game nights and one of the best indoor games for kids. Kids board games like Sorry! make great family gifts for 8 year old boys and girls and up. Add this family board game for kids to your next Family Game Night! Hasbro Gaming and all related terms are trademarks of Hasbro.",31332.0
99f3cd2b-7e42-4abd-a76f-32ae6855834a,B00D7OAOYI,"Hasbro Gaming Trouble Kids Board Game, Pop-o-Matic Trouble Game, Kids Games for 2-4 Players, Family Board Games for Kids, Kids Gifts, Ages 5 and Up, Packaging May Vary",8.99,4.7,10K+ bought in past month,"Product Description The Trouble game is racing, chasing, peg-popping fun! The excitement begins as soon as a player presses the Pop-O-Matic bubble to roll the die. Then players race to get all 4 of their game pieces around the board. But be careful! A player's peg could get bumped and sent back to the beginning, if another player lands on the same space. Be the first to get all 4 pegs into the Finish zone to win. With this edition, kids can enjoy classic Trouble gameplay or a more challenging version with Power Up spaces. This classic game is one of the best family games for game night and one of the most engaging indoor games for kids. Kids board games like Trouble make great kids gifts for 5 year old boys and girls and up. Trouble, Pop-O-Matic, and Hasbro Gaming and all related properties are trademarks of Hasbro. Brand Story By P.when('A').execute(function(A) { A.on('a:expander:toggle_description:toggle:collapse', function(data) { window.scroll(0, data.expander.$expander[0].offsetTop-100); }); }); From the Manufacturer Whether via a game board with dice, a deck of cards, simple lines drawn on scrap paper, or electronic media, gaming is a global pastime that has enriched culture for millennia. From the most classic tabletop board games to up-and-active, play-to-learn games for preschoolers to the painfully funny party games that satisfy your wild side, Hasbro Gaming is a one-stop-shop for filling your games closet. While continuing to produce some of the most memorable games in the history of family gaming, Hasbro Gaming stays up-and-coming by developing games that incorporate digital content and by partnering with some of the biggest names in entertainment. Hasbro Gaming and all related properties and characters are trademarks of Hasbro. See more",37102.0
ceb3ba0f-3bdf-45eb-8d93-637369b6d069,B00000DMF5,"Hasbro Gaming Candy Land Kingdom of Sweet Adventures Board Game for Kids, Easter Gifts for Boys & Girls, 3+ (Amazon Exclusive)",10.49,4.8,10K+ bought in past month,"Product Description If you loved playing the Candy Land board game when you were a child, you can share the experience with your loved ones and start down the ""magical"" road to sweet surprises! This adorable version of the classic Candy Land game features gingerbread men as movers, colored cards, and fun illustrations that kids love, with different destinations like Cookie Commons and the chunky Chocolate Mountain. Players choose their cards, move their pawns, and let their imaginations soar as they make their way to the castle to win! For 2 to 4 players. Hasbro Gaming and all related terms are trademarks of Hasbro. Amazon.com ""Once upon a time, King Kandy, the Imperial Head Bonbon and Grand Jujube of Candy Land disappeared."" Thus begins the magical journey of Milton Bradley's classic Candy Land board game. Captivated by the story of a kidnapped king and eager to help find him, little ones move their gingerbread pawns along a rainbow path and through a land of candy characters, all subjects of King Kandy's realm. Playing cards thoughtfully designed for non-readers are coded with colorful squares matching the jeweled stepping-stone path or an occasional token matching one of the characters' symbols: draw a blue card, move to the nearest blue stepping-stone; draw a snowflake and earn a visit to Queen Frostine's iceberg. There are occasional pitfalls, too: land on the wrong square and you might be stuck in Molasses Swamp until a red card is drawn. With all these enticing, sugarcoated images (and King Kandy plainly visible at path's end), children can't help but be delighted by Candy Land. It's delicious! Instructions are in both Spanish and English. Candy Land is for two to four players) --Julie Ubben P.when('A').execute(function(A) { A.on('a:expander:toggle_description:toggle:collapse', function(data) { window.scroll(0, data.expander.$expander[0].offsetTop-100); }); }); From the Manufacturer Every child's first game, Candy Land is a colorful way for a preschooler to experience the joy of game play. The game teaches color recognition and matching while reinforcing the lesson of taking turns and being a gracious winner or loser. You will love to see the smile on a young person's face as they travel through Candy Land. Includes four gingerbread pawns, a gameboard, a card deck, and instructions in English and Spanish. Review For 2 to 4 players Includes game board, game cards, and plastic playing pieces No reading required to play Skills: color recognition Supply is limited -- See more",35049.0
4ce2ba59-d635-4021-b5ae-037f4c2fc4fa,B00D8STBHY,"Hasbro Gaming Connect 4 Classic Grid,4 in a Row Game,Strategy Board Games for Kids,2 Player .for Family and Kids,Ages 6 and Up",8.99,4.8,9K+ bought in past month,"Product Description Go 4 the win! The Connect 4 Classic Grid game is the popular strategy game for kids and adults in which 2 players go head-to-head in a battle to own the grid! Players choose red or gold discs. Then they drop the discs into the grid, starting in the middle or at the edge to stack their colored discs upwards, horizontally, or diagonally. Use strategy to block opponents while competing to be the first player to get 4 in a row to win. Looking for fun travel games or some classic games for kids? The Connect 4 game is a great choice for a playdate, a rainy day activity, or any time your kids want a fun game to play with a friend. 2-player board games like Connect 4 are great indoor games for kids. Childrens board games make excellent kids gifts for 6 year old boys and girls and up. Connect 4 and Hasbro Gaming and all related properties are trademarks of Hasbro. Brand Story By P.when('A').execute(function(A) { A.on('a:expander:toggle_description:toggle:collapse', function(data) { window.scroll(0, data.expander.$expander[0].offsetTop-100); }); }); From the Manufacturer Whether via a game board with dice, a deck of cards, simple lines drawn on scrap paper, or electronic media, gaming is a global pastime that has enriched culture for millennia. From the most classic tabletop board games to up-and-active, play-to-learn games for preschoolers to the painfully funny party games that satisfy your wild side, Hasbro Gaming is a one-stop-shop for filling your games closet. While continuing to produce some of the most memorable games in the history of family gaming, Hasbro Gaming stays up-and-coming by developing games that incorporate digital content and by partnering with some of the biggest names in entertainment. Hasbro Gaming and all related properties and characters are trademarks of Hasbro. See more",78198.0
4030f2ef-db79-41c2-8bd0-5cb202da0c38,B0B5HLZ8T4,"Monopoly Game, Family Board Games for 2 to 6 Players & Kids Ages 8 and Up, Includes 8 Tokens (Token Vote Edition)",19.92,4.8,6K+ bought in past month,"Buy, sell, dream, and scheme the way to riches with the Monopoly board game! Select a favorite Monopoly token, place it on Go, and roll the dice to own it all! Featuring classic Monopoly gameplay, this favorite family board game is all about buying, selling, and trading properties to win. Chance or Community cards can be a game changer. They can make a player richer--or send someone to Jail! Looking for games for Fam-ily Game Night? The Monopoly game is a Family Game Night staple. It’s a fun indoor activity for kids ages 8 and up and a great family gift. The Hasbro Gaming and Monopoly names and logos, the distinctive design of the gameboard, the four corner squares, the Mr. Monopoly name and character, as well as each of the distinctive elements of the board and playing pieces are trademarks of Hasbro.",3579.0
3edbf10f-2cb6-4f54-ac45-46398d8096fb,B00ABA0ZOA,Jenga Game | The Original Wood Block Game with Genuine Hardwood Blocks | Stacking Tower Game | Ages 6+ | 1 or More Players | Party Games for Kids | Family Games,10.4,4.8,#1 Top Rated,"Product Description Want a game experience that combines skill, suspense, laughter, and maybe a little luck? Look for the Jenga game! It's an easy-to-play game that's fun for the whole family. Carefully pull a wood block out of the tower and place it on top. It's simple at first, but as more Jenga blocks get pulled, the tower becomes unsteady. Players will be on the edge of their seats trying to keep the tower from tumbling. Quick to set up, this Jenga game for can be played nearly anytime, anywhere. It comes with an easy-to-use stacking sleeve for storage, making it one of the best travel games! The Jenga game is one of the best family games for game night, and fun party games make excellent family gifts or gifts for kids. Jenga is a registered trademark of Pokonobe Associates. How Do You Jenga? Is a trademark owned by Pokonobe Associates Hasbro Gaming and all related trademarks and logos are trademarks of Hasbro, Inc. Brand Story By P.when('A').execute(function(A) { A.on('a:expander:toggle_description:toggle:collapse', function(data) { window.scroll(0, data.expander.$expander[0].offsetTop-100); }); }); From the Manufacturer It's the classic block-stacking, stack-crashing game of Jenga. How will you stack up against the law of gravity? Stack the wooden blocks in a sturdy tower, then take turns pulling out blocks one by one until the whole stack crashes down. Is your hand steady enough to pull out the last block before the tower collapses? See more",100759.0
57234401-010f-42a9-b773-e98ef129cd4d,B077Z1R28P,Taco Cat Goat Cheese Pizza,9.84,4.8,10K+ bought in past month,This is the social card game that is going to change your game night forever This addictive game is as unique as its name It's a power packed quick and simple party game Race against each other to SLAP a match between a card and spoken word But - watch out! - your mind will play tricks on you This game was engineered for maximum fun Enjoy!,51819.0
25e4faba-3811-4e1e-87b6-90fdae232236,B07P6MZPK3,"Mattel Games UNO Card Game in a Collectible Storage Tin for Kids, Adults, Families, Parties & Travel, 2 to 10 Players (Amazon Exclusive)",10.99,4.8,10K+ bought in past month,"UNO is the classic family card game that's easy to pick up and impossible to put down! Players take turns matching a card in their hand with the current card shown on top of the deck either by color or number. Special action cards, like Skips, Reverses, Draw Twos, color-changing Wild and Draw Four Wild cards, deliver game-changing moments as they each perform a function to help you defeat your opponents. If you can't make a match, you must draw from the center pile. And when you're down to one card, don't forget to shout ""UNO!"" The first player to get rid of all the cards in their hand wins. Now card game-lovers can get UNO in a sturdy tin that's great for travel and makes storage stress-free. Colors and decorations may vary.",71007.0
